drugpubchemblsubstance;pubchemblsubstance_detail
1662;46507131
1663;46504583
1664;46505854
1665;46504956
1666;46505242
1667;46507685
1668;46508330
1669;46506247
1670;46505811
1671;46504724
1672;46507132
1673;46508883
1674;46505223
1675;46505098
1676;46507122
1677;46505684
1678;46507296
1679;46506216
1680;46504859
1681;46508662
1682;46507571
1683;46508914
1684;46508173
1685;46504986
1686;46507297
1687;46508185
1688;46505892
1689;46505752
1690;46508820
1691;46506807
1692;46506528
1693;46505551
1694;46508520
1695;46504512
1696;46506771
1697;175426854
1698;46509043
1699;46508133
1700;46507382
1701;46508730
1702;46506272
1703;46508486
1704;46504730
1705;46506387
1706;46505256
1707;46507270
1708;46508345
1709;46506433
1710;46508259
1711;46506803
1712;46508688
1713;46508126
1714;46507942
1715;46507057
1716;46506044
1717;46505414
1718;46505343
1719;46508274
1720;46505851
1721;46504625
1722;46505395
1723;46506678
1724;46507066
1725;46507472
1726;46508312
1727;46505516
1728;46505730
1729;46508061
1730;46508454
1731;46506537
1732;46508467
1733;46508747
1734;46506166
1735;46506075
1736;46506318
1737;46505420
1738;46505674
1739;46505904
1740;46507703
1741;46504700
1742;46507556
1743;46506689
1744;46504677
1745;46506177
1746;46505743
1747;46508685
1748;46505422
1749;46506875
1750;46508456
1751;46508083
1752;46509140
1753;46504887
1754;46505393
1755;46508183
1756;46504567
1757;46507683
1758;46504573
1759;46505888
1760;46508428
1761;46505538
1762;46506623
1763;46505878
1764;46508461
1765;46508474
1766;46506926
1767;46506053
1768;46505630
1769;46504831
1770;46508790
1771;46504666
1772;46505043
1773;46505042
1774;46507384
1775;46509007
1776;46505969
1777;46507626
1778;46506971
1779;46506847
1780;46508526
1781;46509078
1782;46508260
1783;46507105
1784;46508424
1785;46504953
1786;46507110
1787;46504708
1788;46505180
1789;46508991
1790;46505135
1791;46507841
1792;46505568
1793;46508432
1794;46506838
1795;46506320
1796;46505254
1797;46508989
1798;46504876
1799;46508367
1800;46505988
1801;46507312
1802;46504900
1803;46505065
1804;46506770
1805;46505758
1806;46506179
1807;46505323
1808;46505268
1809;46506636
1810;46507427
1811;46507995
1812;46505332
1813;46508621
1814;46508266
1815;46508944
1816;46506612
1817;46505835
1818;46508317
1819;46506913
1820;46509044
1821;46504841
1822;46508326
1823;46507991
1824;46505753
1825;46507272
